le tour Saint-Jacques;einer der drei runden Türme der ehemaligen Kirche Saint-Jacques-de-la-Boucherie
déchiffrer qc;etw. entschlüsseln
la mort;der Tod
un mort / une morte;ein Toter / eine Tote
la liberté;die Freiheit
se cacher;sich verstecken
un trésor;ein Schatz
la Sicile;Sizilien
un pirate / une pirate;ein Pirat / eine Piratin
une direction;eine Richtung
l'Orient (m.);der Orient, der Osten
riche / riche;reich
un inconnu / une inconnue;ein Unbekannter / eine Unbekannte
laisser qn / qc;jdn./etw. hinterlassen, jdn./etw. zurücklassen
un ennemi / une ennemie;ein Feind / eine Feindin
authentique / authentique;authentisch
spécial / spéciale / spéciaux / spéciales;speziell, Spezial-, Sonder-
un numéro spécial;eine Sonderausgabe
la rédaction;die Redaktion
suivre qn / qc;jdm./etw. folgen
un greeter;ein Greeter (Person, die Touristen ihre Heimatstadt zeigt)
marseillais / marseillaise;aus Marseille
Notre-Dame de la Garde;Notre-Dame de la Garde (bekannte Basilika in Marseille)
la Bonne Mère (fam.);Bezeichnung im Volksmund für Notre-Dame de la Garde ("die gute Mutter")
un centre-ville;ein Stadtzentrum
le cœur;das Herz
fort / forte;laut
un accent;ein Akzent
des fruits de mer (m.) (pl.);Meeresfrüchte
faire faire qc à qn;jdn. etw. machen lassen
une visite guidée;eine Führung
original / originale / originaux / originales;originell (anders als üblich)
mourir;sterben
Noailles;Noailles (multikulturelles Viertel in Marseille)
une bouillabaisse;provenzalische Fischsuppe
en direction de;in Richtung
la Canebière;Prachtstraße in Marseille
le Vallon des Auffes;kleiner Hafen in Marseille
provençal / provençale / provençaux / provençales;provenzalisch
un Marseillais / une Marseillaise;ein Marseiller / eine Marseillerin
briller;scheinen, funkeln
les calanques (f.) (pl.);Felsbuchten in der Nähe von Marseille
le Prado;Strand und Name eines Skateparks in Marseille
un terrain de sport;ein Sportplatz
un joueur / une joueuse;ein Spieler / eine Spielerin
un stade;ein Stadion
le stade Vélodrome;Fußballstadion in Marseille
une compétition;ein Wettkampf
un kilomètre;ein Kilometer
pratiquer qc;etw. ausüben, etw. praktizieren
un chiffre;eine Ziffer, eine Zahl
en bas;unten, nach unten
recevoir qc;etw. empfangen, etw. bekommen
tant de;so viel
une médaille;eine Medaille
s'entraîner;trainieren
se décourager;den Mut verlieren
grandir;wachsen, aufwachsen
les quartiers nord (m.) (pl.);Viertel im Norden von Marseille
la confiance en soi;das Selbstvertrauen
un sportif / une sportive;ein Sportler / eine Sportlerin
une olive;eine Olive
une merguez;eine kleine, scharf gewürzte Bratwurst aus Rind- oder Lammfleisch
s'amuser;sich vergnügen, sich amüsieren
se reposer;sich ausruhen
européen / européenne;europäisch
le street art (l'art de la rue);die Straßenkunst
il y a 2 heures;vor 2 Stunden
un réalisateur / une réalisatrice;ein (Film-)Regisseur / eine (Film-)Regisseurin
le cours Julien;Straße in Marseille
le tagueur / la tagueuse;der Sprayer / die Sprayerin
le MuCEM (Musée des Civilisations de l'Europe et de la Méditerranée);das MuCEM (Museum der Zivilisationen Europas und des Mittelmeers)
méditerranéen / méditerranéenne;Mittelmeer-, mediterran
influencer qn / qc;jdn./etw. beeinflussen
le Maghreb;der Maghreb (Kulturraum in Nordwestafrika)
l'Italie (f.);Italien
la Grèce;Griechenland
une cité;eine Stadt
la cité phocéenne;Bezeichnung für die Stadt Marseille
un immigré / une immigrée;ein Einwanderer / eine Einwanderin
grâce à qn / qc;durch jdn./etw., dank einer Person / einer Sache
l'immigration (f.);die Einwanderung
le tournage;der Dreh (Film, Szene)
une série télévisée;eine Fernsehserie
un coin;eine Ecke
social / sociale / sociaux / sociales;sozial
une cité;hier: eine Hochhaussiedlung
dur / dure;hart, schwierig
un chantier;eine Baustelle
