un post;ein Post (Beitrag in einem Forum oder Chat)
énervé / énervée;genervt
un portefeuille;eine Brieftasche
la semaine d'avant;die Woche davor / in der Woche davor
un slam;ein Poetry-Slam
la veille;am Vortag, am Vorabend, am Tag zuvor
pourri / pourrie;faul, verdorben, schlecht
un gars (fam.);ein Kerl (ugs.)
réconcilier qn avec qn;jdn. mit jdm. versöhnen
se réconcilier avec qn / qc;sich mit jdm. / etw. versöhnen
s'abonner à qc;etw. abonnieren
un accident;ein Unfall
emporter qc;etw. mitnehmen, etw. wegtragen
tomber dans les pommes (fam.);in Ohnmacht fallen, umkippen
une héroïne;eine Heldin
en fait;im Grunde genommen, eigentlich
un couple;ein Liebespaar / ein Ehepaar
être en couple;in einer Beziehung sein
être au courant de qc;über etw. Bescheid wissen (informiert sein)
à part qn / qc;von jdm. / etw. abgesehen, außer jdm. / etw.
gay / gay;homosexuell
en avoir marre de qn / qc (fam.);von jdm. / etw. die Nase voll haben (ugs.), jdn. / etw. satt haben (ugs.)
un conseil;ein Rat, ein Ratschlag
poster qc;etw. (bei der Post) aufgeben, hier: etw. posten (in einem Internet-Chat veröffentlichen)
la vérité;die Wahrheit
oser faire qc;wagen, etw. zu tun, sich trauen, etw. zu tun
revenir en arrière;etw. rückgängig machen
souffrir de qc;an etw. leiden
un pote / une pote (fam.);ein Freund / eine Freundin, ein Kumpel (ugs., auch weiblich)
